Sample,SiO2,Al2O3,Fe2O3,MgO,CaO,Na2O,K2O,TiO2,P2O5,MnO,longitude,latitude,block,samplecomp,Sc,V,Cr,Mn,Co,Ni,Cu,Zn,Rb,Sr,Y,Zr,Nb,Mo,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Hf,Ta,W,Th,U
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-1,68.1,15,2.93,0.72,2.75,3.93,2.79,0.47,0.19,0.04,-119.02,34.9,SanGabriel,b-1,2.26,18.72,11.95,0.04,3.33,4.74,2.32,9.78,34.7,303.75,7.52,127.9,10.23,2.06,0.82,778.48,25.03,51.28,6.11,21.75,4.39,1.55,3.19,0.38,2.08,0.43,1.01,0.09,0.99,4.5,1.54,1.3,12.05,2.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-2,69,15.8,2.78,0.69,2.51,3.93,3.44,0.42,0.23,0.03,-119.04,34.8,SanGabriel,b-2,1.22,25.98,11.52,0.04,3.84,8.13,7.32,21.43,108,521.57,9.53,126.44,7.25,1.92,1.75,1386.44,23.47,46.4,6.78,20.8,3.97,1.39,3.19,1.19,2.62,1.26,1.97,0.53,1.72,4.71,1.1,0.74,7.23,1.72
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-3,61.3,16.8,5.88,2.4,4.52,3.75,2.66,0.82,0.28,0.09,-119,34.78,SanGabriel,b-3,9.01,81.3,29.69,0.1,16.16,13.08,11.41,108.69,107,565.77,15.25,225.26,12.08,1.61,2.41,1000.61,62.52,117.3,13.21,46.14,8.24,1.73,4.84,0.82,4.05,0.77,2.29,0.3,1.82,6.3,1.12,0.46,19.28,1.96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-4,65.1,16,4.46,1.77,3.95,3.7,3,0.62,0.2,0.07,-118.98,34.7,SanGabriel,b-4,8.47,76.45,25.48,0.08,12.98,9.87,10.67,78.32,119,478.35,12.66,219.3,12.01,1.73,4.24,1096.6,40.06,76.55,8.49,32.1,7,1.62,4.97,0.59,3.27,0.69,1.81,0.22,1.82,6.74,1.31,1.16,19.16,7.43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-5,66.4,15.3,4.24,1.64,3.47,3.39,3.49,0.57,0.19,0.07,-118.95,34.67,SanGabriel,b-5,6.68,62.59,24.87,0.08,12,26.59,17.39,78.11,139,417.12,11.16,143.19,11.24,1.54,2.86,942.63,29.25,55.25,7.1,26.34,5.96,1.47,4.25,0.59,2.76,0.47,1.48,0.24,1.54,4.55,1.15,0.6,14.54,4.64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-6,74.8,13.7,1.16,0.19,0.58,4.23,4.26,0.13,0.07,0.08,-118.91,34.68,SanGabriel,b-6,7.08,2.42,23.2,0.12,0.85,18.52,4.09,24.59,226,89.4,21.57,70.87,68.3,1.62,1.65,534.05,17.37,43.11,4.09,15.1,4,0.66,2.92,0.99,4.16,1.07,3.08,0.43,3.84,2.14,6.19,1.99,15.15,5.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-7,69.1,15.3,3.07,0.93,2.45,3.8,3.42,0.35,0.15,0.07,-118.91,34.64,SanGabriel,b-7,4.27,42.58,21.5,0.09,6.24,24.95,16.98,50.12,101,406.67,13.57,126.12,13.99,2.11,1.61,1330.43,39.24,90.3,9.65,35.63,7.48,1.35,4.63,0.91,3.76,0.78,1.91,0.36,2.15,3.48,1.35,0.56,17.85,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-8,67.2,15.8,3.95,1.33,3.03,3.87,2.57,0.47,0.2,0.07,-118.89,34.6,SanGabriel,b-8,3.92,53.5,18.58,0.08,7.63,12.64,15.73,54.14,69.7,587.7,9.11,180.82,9.17,1.76,1.95,1449.52,64.46,123.7,12.58,45.31,7.03,2.12,4.28,0.49,2.16,0.46,1.63,0.15,1.12,6,0.61,0.31,18.15,1.28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
